player,team,salary,record,target_subgroup
"Ynoa, Huascar*",Atlanta,750000,0.623,FALSE
"Lee, Dylan",Atlanta,730000,0.623,FALSE
"Shuster, Jared",Atlanta,720000,0.623,FALSE
"McCann, James*",Baltimore,12000000,0.512,FALSE
"Gibson, Kyle",Baltimore,10000000,0.512,FALSE
"Frazier, Adam",Baltimore,8000000,0.512,FALSE
"Santander, Anthony",Baltimore,7400000,0.512,FALSE
"Mullins II, Cedric",Baltimore,4100000,0.512,FALSE
"Hays, Austin",Baltimore,3200000,0.512,FALSE
"Givens, Mychal*",Baltimore,3000000,0.512,FALSE
"Means, John*",Baltimore,2975000,0.512,FALSE
"Mateo, Jorge",Baltimore,2000000,0.512,FALSE
"Voth, Austin",Baltimore,1850000,0.512,FALSE
"Tate, Dillon*",Baltimore,1500000,0.512,FALSE
"Coulombe, Daniel",Baltimore,1000000,0.512,FALSE
"Bemboom, Anthony",Baltimore,900000,0.512,FALSE
"Mountcastle, Ryan",Baltimore,738400,0.512,FALSE
"Irvin, Cole",Baltimore,737600,0.512,FALSE
"Urias, Ramon",Baltimore,734700,0.512,FALSE
"Rutschman, Adley",Baltimore,733900,0.512,FALSE
"Wells, Tyler",Baltimore,732400,0.512,FALSE
"Perez, Cionel",Baltimore,732300,0.512,FALSE
"Bautista, Felix",Baltimore,731800,0.512,FALSE
"Kremer, Dean",Baltimore,731200,0.512,FALSE
"Akin, Keegan",Baltimore,731100,0.512,FALSE
"Baker, Bryan",Baltimore,729000,0.512,FALSE
"Bradish, Kyle",Baltimore,728100,0.512,FALSE
"McKenna, Ryan",Baltimore,725800,0.512,FALSE
"Henderson, Gunnar",Baltimore,723200,0.512,FALSE
"Baumann, Michael",Baltimore,722300,0.512,FALSE
"Stowers, Kyle",Baltimore,722200,0.512,FALSE
"Vavra, Terrin",Baltimore,722100,0.512,FALSE
"Gillaspie, Logan",Baltimore,721200,0.512,FALSE
"Sale, Chris",Boston,21672484,0.481,FALSE
"Story, Trevor*",Boston,20000000,0.481,FALSE
"Devers, Rafael",Boston,17500000,0.481,FALSE
"Jansen, Kenley",Boston,16000000,0.481,FALSE
"Yoshida, Masataka",Boston,15600000,0.481,FALSE
"Hernandez, Enrique",Boston,10000000,0.481,FALSE
"Kluber, Corey",Boston,10000000,0.481,FALSE
"Turner, Justin",Boston,8300000,0.481,FALSE
"Martin, Chris",Boston,8000000,0.481,FALSE
"Duvall, Adam",Boston,7000000,0.481,FALSE
"Verdugo, Alex",Boston,6300000,0.481,FALSE
"Pivetta, Nick",Boston,5350000,0.481,FALSE
"Paxton, James*",Boston,4000000,0.481,FALSE
"Bleier, Richard",Boston,3500000,0.481,FALSE
"Mondesi, Adalberto*",Boston,3045000,0.481,FALSE
"Arroyo, Christian",Boston,2000000,0.481,FALSE
"Brasier, Ryan",Boston,2000000,0.481,FALSE
"Tapia, Raimel",Boston,2000000,0.481,FALSE
"Rodriguez, Joely*",Boston,1500000,0.481,FALSE
"Whitlock, Garrett*",Boston,1250000,0.481,FALSE
"McGuire, Reese",Boston,1225000,0.481,FALSE
"Refsnyder, Rob",Boston,1200000,0.481,FALSE
"Chang, Yu-Cheng",Boston,850000,0.481,FALSE
"Schreiber, John",Boston,750000,0.481,FALSE
"Houck, Tanner",Boston,740000,0.481,FALSE
"Crawford, Kutter",Boston,730000,0.481,FALSE
"Bello, Brayan*",Boston,729500,0.481,FALSE
"Mills, Wyatt*",Boston,727500,0.481,FALSE
"Casas, Triston",Boston,723500,0.481,FALSE
"Kelly, Zack",Boston,723500,0.481,FALSE
"Ort, Kaleb",Boston,722000,0.481,FALSE
"Winckowski, Josh",Boston,722000,0.481,FALSE
"Wong, Connor",Boston,722000,0.481,FALSE
"Stroman, Marcus",Chicago Cubs,25000000,0.457,FALSE
"Suzuki, Seiya*",Chicago Cubs,18000000,0.457,FALSE
"Hendricks, Kyle*",Chicago Cubs,14500000,0.457,FALSE
"Swanson, Dansby",Chicago Cubs,14000000,0.457,FALSE
"Taillon, Jameson",Chicago Cubs,14000000,0.457,FALSE
"Hosmer, Eric",Chicago Cubs,13000000,0.457,FALSE
"Bellinger, Cody",Chicago Cubs,12500000,0.457,FALSE
"Happ, Ian",Chicago Cubs,10850000,0.457,FALSE
"Smyly, Drew",Chicago Cubs,8000000,0.457,FALSE
"Mancini, Trey",Chicago Cubs,7000000,0.457,FALSE
"Gomes, Yan",Chicago Cubs,6000000,0.457,FALSE
"Fulmer, Michael",Chicago Cubs,4000000,0.457,FALSE
"Barnhart, Tucker",Chicago Cubs,3250000,0.457,FALSE
"Hoerner, Nico",Chicago Cubs,2525000,0.457,FALSE
"Boxberger, Brad",Chicago Cubs,2000000,0.457,FALSE
"Madrigal, Nick",Chicago Cubs,1225000,0.457,FALSE
"Torrens, Luis",Chicago Cubs,1200000,0.457,FALSE
"Rios, Edwin",Chicago Cubs,1000000,0.457,FALSE
"Leiter Jr., Mark",Chicago Cubs,850000,0.457,FALSE
"Heuer, Codi*",Chicago Cubs,785000,0.457,FALSE
"Wisdom, Patrick",Chicago Cubs,763000,0.457,FALSE
"Alzolay, Adbert",Chicago Cubs,744750,0.457,FALSE
"Steele, Justin",Chicago Cubs,740000,0.457,FALSE
"Thompson, Keegan",Chicago Cubs,740000,0.457,FALSE
"Merryweather, Julian",Chicago Cubs,737000,0.457,FALSE
"Rucker, Michael",Chicago Cubs,737000,0.457,FALSE
