WGT,RACE,NETWORTH
 3187.5712848000,3,    289900.00
 1776.9519045000,2,     22750.00
 1765.4366743000,2,     29150.00
 1798.7379019000,2,     27250.00
 1761.6116905000,2,     27350.00
 1792.6142780000,2,     25250.00
 8217.2138682000,1,   1051200.00
 8247.7439418000,1,    950200.00
 8878.0602006000,1,   1030100.00
 8468.1683072000,1,    989100.00
 9015.0932253000,1,   1063200.00
22814.8441650000,1,     44000.00
22114.8599200000,1,     44000.00
22343.5827080000,1,     43000.00
22309.3732190000,1,     44000.00
22114.6769010000,1,     44000.00
 2680.1403691000,2,     84500.00
 2561.2490484000,2,     83500.00
 2615.6384228000,2,     84500.00
 2612.8531139000,2,     84500.00
 2576.8246081000,2,     83600.00
  445.8481868400,4,  46867500.00
  445.4513449800,4,  41904600.00
  449.1377795900,4,  37359600.00
  454.2483076100,4,  44014600.00
  453.2115604800,4,  40889500.00
 3424.9872040000,1,   3435200.00
 3753.2989222000,1,   3418200.00
 4073.2895579000,1,   3388200.00
 3647.5048057000,1,   3449200.00
 3529.1493775000,1,   3405200.00
20117.9900970000,1,     82900.00
18778.0532920000,1,     79100.00
19062.1873300000,1,     80100.00
18989.5363850000,1,     78500.00
18857.1943690000,1,     78450.00
 6933.5373355000,1,   2391000.00
 8164.2458332000,1,   2421310.00
 3509.8946165000,1,   4316000.00
 7006.1415500000,1,   1957700.00
 3041.4780126000,1,   3692000.00
   47.8658511690,1,  86456000.00
   47.4478833700,1,  85555000.00
   47.8197061040,1,  90737000.00
   48.7892938520,1,  90256000.00
   48.1487810900,1,  85915000.00
 4083.8250437000,1,      2620.00
 3995.2529154000,1,      3310.00
 4024.6616167000,1,      5020.00
 4023.4574221000,1,      3670.00
 3977.8495128000,1,      5820.00
13312.1453070000,4,       520.00
13413.7444950000,4,       140.00
13412.0920160000,4,        60.00
13551.7746560000,4,        50.00
13444.9772430000,4,       230.00
 1971.0027329000,2,      -700.00
 1932.7158134000,2,      -330.00
 1936.3102899000,2,      -680.00
 1986.8052140000,2,      -400.00
 1931.4586934000,2,      -570.00
 6286.0501143000,2,    432700.00
 6334.1970050000,2,    430700.00
 6728.0153711000,2,    430700.00
 6512.0021933000,2,    431700.00
 6846.3203372000,2,    430700.00
 7701.6196174000,1,   2720900.00
 9064.8302566000,1,   2626900.00
 6496.4800990000,1,   2593500.00
 7777.5575026000,1,   2751900.00
 7005.4805713000,1,   2625000.00
11364.3357660000,2,      7760.00
11744.9344140000,2,     12070.00
11388.4376240000,2,      8460.00
11723.0220290000,2,      8570.00
11469.0612510000,2,     10760.00
 7928.4801469000,1,    357500.00
 7959.1143785000,1,    355500.00
 8568.9521087000,1,    367500.00
 8176.2830890000,1,    358500.00
 8702.8985269000,1,    385500.00
12353.7627280000,2,     87400.00
11673.5684350000,2,     75500.00
11698.7849270000,2,    111100.00
11905.8543150000,2,     96400.00
11556.9306570000,2,    102000.00
 3472.2396888000,4,   4876500.00
 3571.5047742000,4,   5633500.00
 3720.9012166000,4,   5002500.00
 3575.5627463000,4,   4884000.00
 3496.2443790000,4,   5267000.00
 2229.8434014000,3,    445800.00
 2237.1105643000,3,    445900.00
 2405.6442535000,3,    445800.00
 2296.9002561000,3,    445900.00
 2441.7973333000,3,    445800.00
 3943.8421021000,3,     24000.00
 3950.9612601000,3,     23000.00
 3965.3182340000,3,     23700.00
 3975.1767848000,3,     23400.00
 3956.8783272000,3,     24200.00
 1708.5699344000,5,     14100.00
 1717.8161439000,5,     16200.00
 1691.3292023000,5,     15100.00
 1719.7898428000,5,      8700.00
 1695.5618158000,5,     21600.00
   44.5078357050,1,  42184000.00
   44.4861826990,1,  39706000.00
   44.6903526800,1,  40400000.00
   45.2408459430,1,  37500000.00
   45.2778657150,1,  36154000.00
 6379.9669084000,2,    615000.00
 6367.7649007000,2,    640000.00
 6937.7123259000,2,    620000.00
 6528.1403132000,2,    590000.00
 7033.5964956000,2,    570000.00
15976.0334100000,1,    158900.00
15168.3720190000,1,    159900.00
15267.4539100000,1,    157900.00
15445.7599200000,1,    157900.00
15100.3825700000,1,    157900.00
 2200.1046689000,2,    350430.00
 2107.9188380000,2,    106020.00
 2240.3474587000,2,    219800.00
 2198.5534145000,2,    115220.00
 2234.6274594000,2,    149820.00
 2731.8492713000,2,     20690.00
 2760.4689028000,2,     21090.00
 2721.6432225000,2,     21390.00
 2741.0547010000,2,     21400.00
 2694.1014737000,2,     17900.00
11561.9569360000,2,       100.00
11618.5119310000,2,       100.00
11444.8069210000,2,       100.00
11627.5136170000,2,       100.00
11473.9508200000,2,       100.00
 2273.9185273000,2,    101300.00
 2177.2331889000,2,    215300.00
 2159.6318797000,2,    154300.00
 2168.0405617000,2,    145300.00
 2140.2475919000,2,     77300.00
 1702.1611033000,2,      5000.00
 1714.2739285000,2,      5400.00
 1691.1501992000,2,      6320.00
 1726.5871517000,2,      5100.00
 1691.0926432000,2,      5100.00
 8848.2220127000,1,   1167030.00
 8876.4396846000,1,   1031930.00
 9558.8931742000,1,    985230.00
 9111.4832287000,1,    970130.00
 9707.9451145000,1,    971430.00
10811.8992450000,1,     20700.00
10916.7443860000,1,     20800.00
10949.7303790000,1,     20700.00
10827.9372560000,1,     20700.00
10912.5626250000,1,     20800.00
 2441.2052320000,1,   6288100.00
 2676.3890876000,1,   6272100.00
 2901.7287758000,1,   6289100.00
 2599.6179435000,1,   6285100.00
 2514.4755710000,1,   6270900.00
   61.1420910060,1,  55896000.00
   60.0926800720,1, 237280300.00
   61.8504429890,1,  55022000.00
   61.7601358450,1,  97542200.00
   60.4747825870,1, 223326000.00
10625.0888260000,1,    921100.00
10664.5650700000,1,    919730.00
11479.5817350000,1,    919780.00
10949.5799790000,1,    917530.00
11656.7692930000,1,    918830.00
 2794.6533748000,4,    800000.00
 3269.3420986000,4,    799000.00
 2345.3689521000,4,    799000.00
 2782.4853589000,4,    799000.00
 2522.9367454000,4,    801000.00
 3338.2860762000,3,     75090.00
 3342.4145691000,3,     45670.00
 3332.0775830000,3,     60220.00
 3343.5538325000,3,     65005.00
 3331.8014756000,3,     61900.00
